TC          	   总数	   失败	   跳过	结论
TC_LOG_001  	   50	    0	    0	通过
TC_LOG_002  	   50	    0	    0	通过
TC_LOG_003  	   50	    0	    0	通过
TC_LOG_004  	   50	    0	    0	通过
TC_LOG_005  	   50	    0	    0	通过
TC_LOG_006  	   50	    0	    0	通过
TC_REG_001  	   50	    0	   50	未执行(破坏性,默认跳过)
TC_REG_002  	   50	    0	    0	通过
TC_REG_003  	   50	    0	    0	通过
TC_REG_004  	   50	    0	    0	通过
TC_REG_005  	   50	    0	    0	通过
TC_REG_006  	   50	    0	    0	通过
TC_REG_007  	   50	    0	    0	通过
TC_REG_008  	   50	    0	    0	通过
TC_REG_009  	   50	    0	    0	通过
TC_REG_010  	   50	    0	    0	通过
TC_REG_011  	   50	    0	    0	通过
TC_REG_012  	   50	   50	    0	不通过
TC_REG_013  	   50	    0	    0	通过
TC_REG_014  	   50	   50	    0	不通过
TC_REG_015  	   50	    0	    0	通过
TC_REG_016  	   50	    0	    0	通过
TC_REG_017  	   50	    0	    0	通过
TC_REG_018  	   50	    0	    0	通过
TC_WAL_001  	   50	    0	   50	未执行(破坏性,默认跳过)
TC_WAL_004  	   50	   50	    0	不通过
TC_WAL_006  	   50	   50	    0	不通过
TC_WAL_005  	   50	    0	    0	通过
TC_WAL_007  	   50	    0	    0	通过
TC_PROF_001 	   50	    0	   50	未执行(破坏性,默认跳过)
TC_PROF_002 	   50	    0	    0	通过
TC_PROF_003 	   50	    0	    0	通过
TC_PROF_004 	   50	    0	    0	通过
TC_PROF_005 	   50	    0	    0	通过
TC_PROF_006 	   50	    0	   50	未执行(破坏性,默认跳过)
TC_PROF_007 	   50	    0	    0	通过
TC_PROF_008 	   50	    0	    0	通过
TC_PROF_009 	   50	    0	    0	通过
TC_TASK_003 	   50	    0	   50	未执行(破坏性,默认跳过)
TC_TASK_004 	   50	    0	    0	通过
TC_TASK_006 	   50	    0	    0	通过
TC_TASK_009 	   50	    0	    0	通过
TC_TASK_014 	   50	    0	    0	通过
TC_TASK_012 	   50	    0	    0	通过
